name,team,1Bprob,2Bprob,3Bprob,HRprob,BA
"Adonis Garcia","Atlanta Braves",0.7034,0.2000,0.0000,0.0966,0.2726
"Avisail Garcia","Chicago White Sox",0.6832,0.1782,0.0198,0.1188,0.2446
"Greg Garcia","St. Louis Cardinals",0.7627,0.1864,0.0000,0.0508,0.2757
"Jaime Garcia","St. Louis Cardinals",1.0000,0.0000,0.0000,0.0000,0.1707
"Leury Garcia","Chicago White Sox",0.7273,0.0909,0.0909,0.0909,0.2292
"Brett Gardner","New York Yankees",0.7552,0.1538,0.0420,0.0490,0.2614
"Dustin Garneau","Colorado Rockies",0.5625,0.3750,0.0000,0.0625,0.2353
"Evan Gattis","Houston Astros",0.5446,0.1696,0.0000,0.2857,0.2506
"Scooter Gennett","Milwaukee Brewers",0.6565,0.2290,0.0076,0.1069,0.2631
"Craig Gentry","Los Angeles Angels of Anaheim",0.8000,0.2000,0.0000,0.0000,0.1471
"Johnny Giavotella","Los Angeles Angels of Anaheim",0.7000,0.2222,0.0111,0.0667,0.2601
"Conor Gillaspie","San Francisco Giants",0.6400,0.1600,0.0800,0.1200,0.2618
"Cole Gillespie","Miami Marlins",0.5833,0.2500,0.1667,0.0000,0.2353
"Chris Gimenez","Cleveland Indians",0.7333,0.1333,0.0000,0.1333,0.2158
"Tyler Goeddel","Philadelphia Phillies",0.7561,0.0732,0.0732,0.0976,0.1925
"Ryan Goins","Toronto Blue Jays",0.5882,0.2647,0.0588,0.0882,0.1858
"Paul Goldschmidt","Arizona Diamondbacks",0.6512,0.1919,0.0174,0.1395,0.2971
"Yan Gomes","Cleveland Indians",0.5000,0.2619,0.0238,0.2143,0.1673
"Carlos Gomez","Houston Astros",0.6452,0.2581,0.0161,0.0806,0.2102
"Carlos Gomez","Texas Rangers",0.5758,0.1818,0.0000,0.2424,0.2845
"Adrian Gonzalez","Los Angeles Dodgers",0.6975,0.1914,0.0000,0.1111,0.2852
"Carlos Gonzalez","Colorado Rockies",0.6034,0.2414,0.0115,0.1437,0.2979
"Gio Gonzalez","Washington Nationals",0.7143,0.2857,0.0000,0.0000,0.1346
"Marwin Gonzalez","Houston Astros",0.6585,0.2114,0.0244,0.1057,0.2541
"Brian Goodwin","Washington Nationals",0.5833,0.3333,0.0833,0.0000,0.2857
"Alex Gordon","Kansas City Royals",0.6429,0.1633,0.0204,0.1735,0.2202
"Dee Gordon","Miami Marlins",0.8391,0.0805,0.0690,0.0115,0.2677
"Anthony Gose","Detroit Tigers",0.6842,0.1053,0.1053,0.1053,0.2088
"Tuffy Gosewisch","Arizona Diamondbacks",0.6429,0.0714,0.0714,0.2143,0.1556
"Philip Gosselin","Arizona Diamondbacks",0.7541,0.1967,0.0164,0.0328,0.2773
"Yulieski Gurriel","Houston Astros",0.7059,0.2059,0.0000,0.0882,0.2615
"Curtis Granderson","New York Mets",0.5426,0.1860,0.0388,0.2326,0.2367
"Yasmani Grandal","Los Angeles Dodgers",0.5281,0.1573,0.0112,0.3034,0.2282
"Jon Gray","Colorado Rockies",0.7143,0.2857,0.0000,0.0000,0.1489
"Grant Green","San Francisco Giants",0.7500,0.1667,0.0000,0.0833,0.2609
"Didi Gregorius","New York Yankees",0.6516,0.2065,0.0129,0.1290,0.2758
"Zack Greinke","Arizona Diamondbacks",0.9091,0.0909,0.0000,0.0000,0.2115
"Randal Grichuk","St. Louis Cardinals",0.4766,0.2710,0.0280,0.2243,0.2399
"Robbie Grossman","Minnesota Twins",0.6667,0.2043,0.0108,0.1183,0.2801
"Junior Guerra","Milwaukee Brewers",0.7500,0.2500,0.0000,0.0000,0.2286
"Franklin Gutierrez","Seattle Mariners",0.6230,0.1475,0.0000,0.2295,0.2460
"Brandon Guyer","Tampa Bay Rays",0.6078,0.2353,0.0196,0.1373,0.2406
"Brandon Guyer","Cleveland Indians",0.7407,0.1852,0.0000,0.0741,0.3333
"Jedd Gyorko","St. Louis Cardinals",0.5876,0.0928,0.0103,0.3093,0.2425
"Billy Hamilton","Cincinnati Reds",0.7664,0.1776,0.0280,0.0280,0.2603
"Jason Hammel","Chicago Cubs",0.8125,0.1875,0.0000,0.0000,0.2462
"Mitch Haniger","Arizona Diamondbacks",0.6800,0.0800,0.0400,0.2000,0.2294
"Ryan Hanigan","Boston Red Sox",0.7222,0.2222,0.0000,0.0556,0.1714
"Alen Hanson","Pittsburgh Pirates",0.8571,0.1429,0.0000,0.0000,0.2258
"J. J. Hardy","Baltimore Orioles",0.6514,0.2661,0.0000,0.0826,0.2691
"Bryce Harper","Washington Nationals",0.5935,0.1951,0.0163,0.1951,0.2431
"Josh Harrison","Pittsburgh Pirates",0.7391,0.1812,0.0507,0.0290,0.2834
"Jeremy Hazelbaker","St. Louis Cardinals",0.5319,0.1489,0.0638,0.2553,0.2350
"Chase Headley","New York Yankees",0.7203,0.1525,0.0085,0.1186,0.2527
"Ryon Healy","Oakland Athletics",0.5976,0.2439,0.0000,0.1585,0.3048
"Adeiny Hechavarria","Miami Marlins",0.7833,0.1417,0.0500,0.0250,0.2362
"Chris Heisey","Washington Nationals",0.5667,0.1000,0.0333,0.3000,0.2158
"Jeremy Hellickson","Philadelphia Phillies",0.8889,0.1111,0.0000,0.0000,0.1667
"Kyle Hendricks","Chicago Cubs",1.0000,0.0000,0.0000,0.0000,0.1379
"Guillermo Heredia","Seattle Mariners",0.8261,0.1304,0.0000,0.0435,0.2500
"Cesar Hernandez","Philadelphia Phillies",0.8075,0.0870,0.0683,0.0373,0.2943
"Enrique Hernandez","Los Angeles Dodgers",0.6341,0.1951,0.0000,0.1707,0.1898
"Gorkys Hernandez","San Francisco Giants",0.5000,0.3571,0.0000,0.1429,0.2593
"Marco Hernandez","Boston Red Sox",0.8667,0.0667,0.0000,0.0667,0.2941
"Teoscar Hernandez","Houston Astros",0.5217,0.3043,0.0000,0.1739,0.2300
"Odubel Herrera","Philadelphia Phillies",0.7485,0.1257,0.0359,0.0898,0.2864
"Chris Herrmann","Arizona Diamondbacks",0.6429,0.1190,0.0952,0.1429,0.2838
"Jason Heyward","Chicago Cubs",0.7131,0.2213,0.0082,0.0574,0.2302
"Aaron Hicks","New York Yankees",0.6901,0.1831,0.0141,0.1127,0.2171
"Aaron Hill","Milwaukee Brewers",0.7361,0.1528,0.0000,0.1111,0.2835
"Aaron Hill","Boston Red Sox",0.8148,0.1111,0.0000,0.0741,0.2177
"Bryan Holaday","Texas Rangers",0.5500,0.3000,0.0500,0.1000,0.2381
"Bryan Holaday","Boston Red Sox",0.8571,0.1429,0.0000,0.0000,0.2121
"Matt Holliday","St. Louis Cardinals",0.5638,0.2128,0.0106,0.2128,0.2461
"Brock Holt","Boston Red Sox",0.6892,0.2162,0.0000,0.0946,0.2552
"Tyler Holt","Cincinnati Reds",0.8095,0.1190,0.0714,0.0000,0.2346
"Eric Hosmer","Kansas City Royals",0.6894,0.1491,0.0062,0.1553,0.2661
"Ryan Howard","Philadelphia Phillies",0.4615,0.1538,0.0000,0.3846,0.1964
"Jared Hoying","Texas Rangers",0.8000,0.2000,0.0000,0.0000,0.2174
"Nick Hundley","Colorado Rockies",0.5867,0.2667,0.0133,0.1333,0.2595
"Cedric Hunter","Philadelphia Phillies",0.6667,0.0000,0.0000,0.3333,0.0882
"Chris Iannetta","Seattle Mariners",0.6613,0.2258,0.0000,0.1129,0.2102
"Jose Iglesias","Detroit Tigers",0.7479,0.2185,0.0000,0.0336,0.2548
"Ender Inciarte","Atlanta Braves",0.7763,0.1579,0.0461,0.0197,0.2912
"Omar Infante","Kansas City Royals",0.6875,0.2813,0.0313,0.0000,0.2388
"Hernan Iribarren","Cincinnati Reds",0.7857,0.0000,0.2143,0.0000,0.3111
"Austin Jackson","Chicago White Sox",0.6957,0.2609,0.0435,0.0000,0.2541
"Paul Janish","Baltimore Orioles",0.8333,0.1667,0.0000,0.0000,0.1935
"Travis Jankowski","San Diego Padres",0.7927,0.1585,0.0244,0.0244,0.2448
