name,team,DASP
"Tommy Hunter","Baltimore Orioles",-0.08507102040816328
"Drew Hutchison","Pittsburgh Pirates",-0.011441568627450993
"Raisel Iglesias","Cincinnati Reds",0.04786461538461537
"Hisashi Iwakuma","Seattle Mariners",-0.03168267942583733
"Edwin Jackson","Miami Marlins",-0.05858382978723406
"Edwin Jackson","San Diego Padres",-0.04187582822085892
"Luke Jackson","Texas Rangers",-0.15913290322580648
"Kenley Jansen","Los Angeles Dodgers",0.20682262948207172
"Jeremy Jeffress","Milwaukee Brewers",-0.023309473684210547
"Jeremy Jeffress","Texas Rangers",-0.07026509803921568
"Tyrell Jenkins","Atlanta Braves",-0.09781535864978903
"Dan Jennings","Chicago White Sox",-0.029913822393822398
"Kevin Jepsen","Minnesota Twins",-0.051491631205673766
"Kevin Jepsen","Tampa Bay Rays",-0.05089349397590362
"Ubaldo Jimenez","Baltimore Orioles",-0.011595235109717883
"Erik Johnson","San Diego Padres",-0.0999931182795699
"Jim Johnson","Atlanta Braves",0.04811909774436088
"Steve Johnson","Seattle Mariners",0.019146666666666645
"Nate Jones","Chicago White Sox",0.084450802919708
"Taylor Jungmann","Milwaukee Brewers",-0.06466285714285716
"Tommy Kahnle","Chicago White Sox",0.002564033613445371
"Nate Karns","Seattle Mariners",0.03468623501199039
"Scott Kazmir","Los Angeles Dodgers",0.0195986440677966
"Keone Kela","Texas Rangers",0.09247999999999998
"Shawn Kelley","Washington Nationals",0.14962285714285714
"Casey Kelly","Atlanta Braves",-0.13889254901960785
"Joe Kelly","Boston Red Sox",0.04779914893617018
"Ian Kennedy","Kansas City Royals",0.01741887530562347
"Clayton Kershaw","Los Angeles Dodgers",0.10865647058823527
"Dallas Keuchel","Houston Astros",-0.0020991726105563657
"Dean Kiekhefer","St. Louis Cardinals",-0.06466285714285716
"Craig Kimbrel","Boston Red Sox",0.16975272727272725
"Brandon Kintzler","Minnesota Twins",-0.05127000000000001
"Phil Klein","Texas Rangers",0.13533714285714285
"Phil Klein","Philadelphia Phillies",-0.07026509803921568
"Corey Kluber","Cleveland Indians",0.05643348837209303
"Corey Knebel","Milwaukee Brewers",0.05454896551724139
"Matt Koch","Arizona Diamondbacks",-0.06259246376811595
"Tom Koehler","Miami Marlins",-0.017597519379844967
"George Kontos","San Francisco Giants",-0.045482962962962975
"Ian Krol","Atlanta Braves",0.05054451612903224
"Chad Kuhl","Pittsburgh Pirates",-0.03144026578073092
"John Lackey","Chicago Cubs",0.033121711229946504
"John Lamb","Cincinnati Reds",-0.025130062893081784
"Mat Latos","Chicago White Sox",-0.08676528301886793
"Mat Latos","Washington Nationals",0.019752727272727255
"Derek Law","San Francisco Giants",0.0261248598130841
"Tommy Layne","Boston Red Sox",0.0008133333333333326
"Tommy Layne","New York Yankees",-0.013490149253731348
"Mike Leake","St. Louis Cardinals",-0.04239450462351388
"Wade LeBlanc","Seattle Mariners",-0.010404615384615401
"Wade LeBlanc","Pittsburgh Pirates",0.019752727272727255
"Jose Leclerc","Texas Rangers",0.019752727272727255
"Dominic Leone","Arizona Diamondbacks",-0.03194748091603056
"Jon Lester","Chicago Cubs",0.03996743718592963
"Colby Lewis","Texas Rangers",-0.05285898305084746
"Adam Liberatore","Los Angeles Dodgers",0.05952545454545452
"Pat Light","Minnesota Twins",-0.0157391780821918
"Tim Lincecum","Los Angeles Angels of Anaheim",-0.04752000000000001
"Francisco Liriano","Pittsburgh Pirates",0.014277323135755249
"Francisco Liriano","Toronto Blue Jays",0.04247999999999999
"Kyle Lobstein","Pittsburgh Pirates",-0.07115636363636366
"Jeff Locke","Pittsburgh Pirates",-0.07808737588652484
"Adam Loewen","Arizona Diamondbacks",-0.11074580645161292
"Boone Logan","Colorado Rockies",0.09729283422459892
"Javier Lopez","San Francisco Giants",-0.0804013559322034
"Reynaldo Lopez","Washington Nationals",0.0014352238805969975
"Michael Lorenzen","Cincinnati Reds",0.030103762376237603
"Aaron Loup","Toronto Blue Jays",0.03441548387096774
"Mark Lowe","Detroit Tigers",0.01122999999999999
"Cory Luebke","Pittsburgh Pirates",-0.03770867924528304
"Seth Lugo","New York Mets",-0.03444307692307694
"Jordan Lyles","Colorado Rockies",-0.0903038827838828
"Tyler Lyons","St. Louis Cardinals",0.038469304812834226
"Ryan Madson","Oakland Athletics",-0.026038518518518516
"Kenta Maeda","Los Angeles Dodgers",0.04247999999999999
"Matt Magill","Cincinnati Reds",-0.15752
"Greg Mahle","Los Angeles Angels of Anaheim",-0.044729302325581394
"Sean Manaea","Oakland Athletics",0.0012342087542087377
"Seth Maness","St. Louis Cardinals",-0.08811701492537315
"Jeff Manship","Cleveland Indians",-0.017043809523809544
"Joe Mantiply","Detroit Tigers",-0.08252000000000001
"Jhan Marinez","Milwaukee Brewers",-0.02392625000000001
"Michael Mariot","Philadelphia Phillies",0.03458526315789473
"Justin Marks","Tampa Bay Rays",-0.06466285714285716
"Matt Marksberry","Atlanta Braves",-0.0898729411764706
"German Marquez","Colorado Rockies",-0.05445877551020409
"Evan Marshall","Arizona Diamondbacks",-0.09359594936708862
"Carlos Martinez","St. Louis Cardinals",0.007560346106304072
"Cody Martin","Seattle Mariners",-0.06733308411214955
"Nick Martinez","Texas Rangers",-0.11813452513966481
"Rafael Martin","Washington Nationals",0.20914666666666668
"Brian Matusz","Baltimore Orioles",-0.17894857142857143
"Steven Matz","New York Mets",0.028311809872029248
"Brandon Maurer","San Diego Padres",0.03247999999999998
"Mike Mayers","St. Louis Cardinals",-0.15037714285714288
"Trevor May","Minnesota Twins",0.11333561497326203
"Zach McAllister","Cleveland Indians",0.024239656652360497
"Brandon McCarthy","Los Angeles Dodgers",0.04978994152046781
"Kevin McCarthy","Kansas City Royals",-0.036788292682926826
"Lance McCullers","Houston Astros",0.09361636363636364
"T. J. McFarland","Baltimore Orioles",-0.14502
"Jake McGee","Colorado Rockies",-0.022154146341463427
"Dustin McGowan","Miami Marlins",0.01828645161290321
"Collin McHugh","Houston Astros",0.014841809045226112
"Kris Medlen","Kansas City Royals",-0.05625949579831935
"Mark Melancon","Pittsburgh Pirates",0.025608834355828197
"Mark Melancon","Washington Nationals",0.044816448598130804
